stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,2,10.0,0.029758599819615483,,0.017348699970170856,0.029758599819615483,0.5339341999497265,0.5339341999497265,0.5493673998862505,0.8480926000047475,1.044309699907899,left,-10.0,1,1,0.40479480009526014,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
1,2,8.0,1.0630606999620795,,1.044485499849543,1.0630606999620795,1.5484244998078793,1.5484244998078793,1.564001599792391,1.848681499948725,2.030981299933046,left,-8.0,1,1,0.4658819001633674,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
2,2,6.0,2.0464983999263495,,2.031152799958363,2.0464983999263495,2.529660299886018,2.529660299886018,2.5466560998465866,2.832215999951586,2.9990216998849064,left,-6.0,1,1,0.45444590016268194,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
3,2,4.0,3.0154612998012453,,2.9993896998930722,3.0154612998012453,3.4997323998250067,3.4997323998250067,3.516558799892664,3.8147249999456108,4.115499299950898,left,-4.0,1,1,0.6119997999630868,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
4,2,2.0,4.13323609996587,,4.115743299946189,4.13323609996587,4.614555599866435,4.614555599866435,4.648522699950263,4.915825399802998,5.117825899971649,left,-2.0,1,1,0.4985091001726687,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
5,1,1.0,5.131543600000441,,5.118137100012973,5.131543600000441,5.632118199951947,5.632118199951947,5.632118199951947,5.947346699889749,6.550675899954513,left,-1.0,0,0,0.9167314998339862,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
6,1,2.0,6.566595799988136,,6.5510197000112385,6.566595799988136,7.065429799957201,7.065429799957201,7.0825022999197245,7.36485889996402,7.981104200007394,right,2.0,1,1,0.9004832999780774,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
7,1,2.0,7.997812299989164,,7.981319099897519,7.997812299989164,8.481585299829021,8.481585299829021,8.498262399807572,8.781592999817804,8.965991999953985,right,2.0,1,1,0.48154879990033805,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
8,1,2.0,8.98160279984586,,8.966262699803337,8.98160279984586,9.46456479979679,9.46456479979679,9.48091119993478,9.763104199897498,10.363853299990296,left,-2.0,1,1,0.8950177999213338,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
9,0.5,1.0,10.3800644997973,,10.364074099808931,10.3800644997973,10.864909600000829,10.864909600000829,10.881722199963406,11.164989199955016,11.315732899820432,right,1.0,0,0,0.4344943999312818,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
10,0.5,1.5,11.331694399937987,,11.315997299971059,11.331694399937987,11.81574649992399,11.81574649992399,11.831712299957871,12.115011799847707,12.516121399821714,right,1.5,1,1,0.6998566000256687,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
11,0.5,1.5,12.530943799996749,,12.516403299989179,12.530943799996749,13.031761899823323,13.031761899823323,13.031761899823323,13.332214799942449,13.398860399844125,left,-1.5,0,0,0.35712689999490976,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
12,0.5,2.0,13.414466799935326,,13.399182099848986,13.414466799935326,13.914524199906737,13.914524199906737,13.914524199906737,14.215455599827692,14.549421299947426,left,-2.0,1,1,0.6242692999076098,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
13,0.5,2.0,14.565635799895972,,14.549750600010157,14.565635799895972,15.04947829991579,15.04947829991579,15.06641019997187,15.34980189986527,16.047798599814996,right,2.0,1,1,0.983089999994263,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
14,0.5,2.0,16.066117799840868,,16.04804199980572,16.066117799840868,16.54829279985279,16.54829279985279,16.581461899913847,16.84737309999764,17.266415299847722,right,2.0,1,1,0.7053295001387596,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
15,0.5,1.5,17.28268829989247,,17.266721399966627,17.28268829989247,17.782287599984556,17.782287599984556,17.782287599984556,18.08024589996785,18.38232410000637,right,1.5,1,1,0.5959236000198871,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
16,0.5,1.5,18.398048599949107,,18.38256679987535,18.398048599949107,18.88157429988496,18.88157429988496,18.898371999850497,19.182884899899364,19.765080799814314,right,1.5,1,1,0.8726920001208782,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
17,0.5,1.5,19.78246399993077,,19.76535369991325,19.78246399993077,20.264604199910536,20.264604199910536,20.298638899810612,20.564994999906048,20.78184309997596,right,1.5,1,1,0.5051642002072185,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
