pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.3971607000567019,None,0,0,0,0,,,,,0.017142700031399727,,0.011286600027233362,0.017142700031399727,1.0071310999337584,1.0071310999337584,1.0071310999337584,1.0071310999337584,1.021362799918279,2.00472109997645,2.00472109997645,2.425501100020483,x,1,0.3971607000567019,None,,,,,participant 1,001,2025-10-03_15h14.05.209,Motor Sequence,,2025.1.1,59.98832625265731,2025-10-03 15h14.17.609173 +0530,
150,v,1,1,0,v,1,0.8162350000347942,None,0,1,1,1,,,,,2.432748599909246,,2.4259468000382185,2.432748599909246,3.4376789000816643,3.4376789000816643,3.4376789000816643,3.4376789000816643,3.4376789000816643,4.437390600098297,4.437390600098297,5.255834300071001,v,1,0.8162350000347942,None,,,,,participant 1,001,2025-10-03_15h14.05.209,Motor Sequence,,2025.1.1,59.98832625265731,2025-10-03 15h14.17.609173 +0530,
50,c,2,2,0,c,1,0.5096986999269575,None,0,2,2,2,,,,,5.273622900014743,,5.2564759000670165,5.273622900014743,6.257072699954733,6.257072699954733,6.257072699954733,6.257072699954733,6.271358199883252,7.271810200065374,7.271810200065374,7.788493399973959,c,1,0.5096986999269575,None,,,,,participant 1,001,2025-10-03_15h14.05.209,Motor Sequence,,2025.1.1,59.98832625265731,2025-10-03 15h14.17.609173 +0530,
-150,z,3,3,0,z,1,0.56239840015769,None,0,3,3,3,,,,,7.806648199912161,,7.7891037000808865,7.806648199912161,8.78980219992809,8.78980219992809,8.78980219992809,8.78980219992809,8.804705699905753,9.803805700037628,9.803805700037628,10.371020100079477,z,1,0.56239840015769,None,,,,,participant 1,001,2025-10-03_15h14.05.209,Motor Sequence,,2025.1.1,59.98832625265731,2025-10-03 15h14.17.609173 +0530,
-50,x,4,0,1,x,1,0.47715559997595847,None,1,0,4,0,,,,,10.389694100013003,,10.37136789993383,10.389694100013003,11.373050299938768,11.373050299938768,11.373050299938768,11.373050299938768,11.38729720003903,12.371287900023162,12.371287900023162,12.855471400078386,x,1,0.47715559997595847,None,,,,,participant 1,001,2025-10-03_15h14.05.209,Motor Sequence,,2025.1.1,59.98832625265731,2025-10-03 15h14.17.609173 +0530,
150,v,5,1,1,v,1,0.4378080000169575,None,1,1,5,1,,,,,12.873530100099742,,12.856356400065124,12.873530100099742,13.856438100105152,13.856438100105152,13.856438100105152,13.856438100105152,13.870703299995512,14.871155499946326,14.871155499946326,15.32187579991296,v,1,0.4378080000169575,None,,,,,participant 1,001,2025-10-03_15h14.05.209,Motor Sequence,,2025.1.1,59.98832625265731,2025-10-03 15h14.17.609173 +0530,
50,c,6,2,1,c,1,0.40152289997786283,None,1,2,6,2,,,,,15.34004979999736,,15.322635099990293,15.34004979999736,16.32355979993008,16.32355979993008,16.32355979993008,16.32355979993008,16.337023499887437,17.32153380010277,17.32153380010277,17.738965400028974,c,1,0.40152289997786283,None,,,,,participant 1,001,2025-10-03_15h14.05.209,Motor Sequence,,2025.1.1,59.98832625265731,2025-10-03 15h14.17.609173 +0530,
-150,z,7,3,1,z,1,0.5734924001153558,None,1,3,7,3,,,,,17.756679099984467,,17.739456499926746,17.756679099984467,18.740064000012353,18.740064000012353,18.740064000012353,18.740064000012353,18.754601599881425,19.754366100067273,19.754366100067273,20.337683599907905,z,1,0.5734924001153558,None,,,,,participant 1,001,2025-10-03_15h14.05.209,Motor Sequence,,2025.1.1,59.98832625265731,2025-10-03 15h14.17.609173 +0530,
-50,x,8,0,2,x,1,0.3293660001363605,None,2,0,8,0,,,,,20.35657320008613,,20.338118700077757,20.35657320008613,21.339379499899223,21.339379499899223,21.339379499899223,21.339379499899223,21.353885299991816,22.337563100038096,22.337563100038096,22.672125899931416,x,1,0.3293660001363605,None,,,,,participant 1,001,2025-10-03_15h14.05.209,Motor Sequence,,2025.1.1,59.98832625265731,2025-10-03 15h14.17.609173 +0530,
150,v,9,1,2,v,1,0.5163011001423001,None,2,1,9,1,,,,,22.690595200052485,,22.672795499907807,22.690595200052485,23.67366349999793,23.67366349999793,23.67366349999793,23.67366349999793,23.687179900007322,24.687146400101483,24.687146400101483,25.205544400028884,v,1,0.5163011001423001,None,,,,,participant 1,001,2025-10-03_15h14.05.209,Motor Sequence,,2025.1.1,59.98832625265731,2025-10-03 15h14.17.609173 +0530,
