word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.009021900012157857,0.02414989995304495,1.0120058000320569,,,,,,,,,,,,,,,participant 3,001,2025-08-25_17h04.31.334,Stroop task,,2025.1.1,58.99235166028615,2025-08-25 17h04.55.005865 +0530,
RED,red,C,r,0,0,0,r,1,1.764169300091453,None,0,0,0,0,1.0402163000544533,,,,,1.0300425000023097,1.0402163000544533,1.5081787999952212,1.5081787999952212,1.5081787999952212,3.285375399980694,r,1,1.764169300091453,None,,,,,participant 3,001,2025-08-25_17h04.31.334,Stroop task,,2025.1.1,58.99235166028615,2025-08-25 17h04.55.005865 +0530,
BLUE,blue,C,b,1,1,0,b,1,1.09784609999042,None,0,1,1,3,3.3077848999528214,,,,,3.2911732000065967,3.3077848999528214,3.7912916999775916,3.7912916999775916,3.7912916999775916,4.897265800042078,b,1,1.09784609999042,None,,,,,participant 3,001,2025-08-25_17h04.31.334,Stroop task,,2025.1.1,58.99235166028615,2025-08-25 17h04.55.005865 +0530,
RED,blue,I,b,2,2,0,b,1,1.1983743000309914,None,0,2,2,1,4.907917800010182,,,,,4.9000729999970645,4.907917800010182,5.407344699953683,5.407344699953683,5.407344699953683,6.612234500003979,b,1,1.1983743000309914,None,,,,,participant 3,001,2025-08-25_17h04.31.334,Stroop task,,2025.1.1,58.99235166028615,2025-08-25 17h04.55.005865 +0530,
BLUE,red,I,r,3,3,0,r,1,0.6631928000133485,None,0,3,3,2,6.624592500040308,,,,,6.615380799979903,6.624592500040308,7.123239499982446,7.123239499982446,7.123239499982446,7.795228900038637,r,1,0.6631928000133485,None,,,,,participant 3,001,2025-08-25_17h04.31.334,Stroop task,,2025.1.1,58.99235166028615,2025-08-25 17h04.55.005865 +0530,
BLUE,red,I,r,4,0,1,r,1,1.0276255999924615,None,1,0,4,2,7.807795300032012,,,,,7.795750700053759,7.807795300032012,8.307756899972446,8.307756899972446,8.307756899972446,9.343759399955161,r,1,1.0276255999924615,None,,,,,participant 3,001,2025-08-25_17h04.31.334,Stroop task,,2025.1.1,58.99235166028615,2025-08-25 17h04.55.005865 +0530,
RED,blue,I,b,5,1,1,b,1,0.5972476000897586,None,1,1,5,1,9.357699300046079,,,,,9.346815999946557,9.357699300046079,9.857872199965641,9.857872199965641,9.857872199965641,10.461857400019653,b,1,0.5972476000897586,None,,,,,participant 3,001,2025-08-25_17h04.31.334,Stroop task,,2025.1.1,58.99235166028615,2025-08-25 17h04.55.005865 +0530,
RED,red,C,r,6,2,1,r,1,0.514179400051944,None,1,2,6,0,10.474836600013077,,,,,10.462404899997637,10.474836600013077,10.974363200017251,10.974363200017251,10.974363200017251,11.494607000029646,r,1,0.514179400051944,None,,,,,participant 3,001,2025-08-25_17h04.31.334,Stroop task,,2025.1.1,58.99235166028615,2025-08-25 17h04.55.005865 +0530,
BLUE,blue,C,b,7,3,1,b,1,0.44773040001746267,None,1,3,7,3,11.507576999953017,,,,,11.497267100028694,11.507576999953017,12.007992399972863,12.007992399972863,12.007992399972863,12.462576500023715,b,1,0.44773040001746267,None,,,,,participant 3,001,2025-08-25_17h04.31.334,Stroop task,,2025.1.1,58.99235166028615,2025-08-25 17h04.55.005865 +0530,
BLUE,red,I,r,8,0,2,r,1,0.9810522999614477,None,2,0,8,2,12.475609999964945,,,,,12.463143600034527,12.475609999964945,12.973583100014366,12.973583100014366,12.973583100014366,13.961115199956112,r,1,0.9810522999614477,None,,,,,participant 3,001,2025-08-25_17h04.31.334,Stroop task,,2025.1.1,58.99235166028615,2025-08-25 17h04.55.005865 +0530,
RED,red,C,r,9,1,2,r,1,0.9856210999423638,None,2,1,9,0,13.974334900034592,,,,,13.963962199981324,13.974334900034592,14.474472800036892,14.474472800036892,14.474472800036892,15.46357529994566,r,1,0.9856210999423638,None,,,,,participant 3,001,2025-08-25_17h04.31.334,Stroop task,,2025.1.1,58.99235166028615,2025-08-25 17h04.55.005865 +0530,
RED,blue,I,b,10,2,2,b,1,0.5487947000656277,None,2,2,10,1,15.474915700033307,,,,,15.46432529995218,15.474915700033307,15.972924400004558,15.972924400004558,15.972924400004558,16.52817419997882,b,1,0.5487947000656277,None,,,,,participant 3,001,2025-08-25_17h04.31.334,Stroop task,,2025.1.1,58.99235166028615,2025-08-25 17h04.55.005865 +0530,
BLUE,blue,C,b,11,3,2,b,1,0.5400549999903888,None,2,3,11,3,16.541008400032297,,,,,16.530905300052837,16.541008400032297,17.040841200039722,17.040841200039722,17.040841200039722,17.59344540000893,b,1,0.5400549999903888,None,,,,,participant 3,001,2025-08-25_17h04.31.334,Stroop task,,2025.1.1,58.99235166028615,2025-08-25 17h04.55.005865 +0530,
BLUE,red,I,r,12,0,3,r,1,0.5237481999211013,None,3,0,12,2,17.607088300050236,,,,,17.593976099975407,17.607088300050236,18.10766620002687,18.10766620002687,18.10766620002687,18.646813199971803,r,1,0.5237481999211013,None,,,,,participant 3,001,2025-08-25_17h04.31.334,Stroop task,,2025.1.1,58.99235166028615,2025-08-25 17h04.55.005865 +0530,
