word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.021997100091539323,0.03726510005071759,1.0039904000004753,,,,,,,,,,,,,,participant 4,001,2025-08-25_22h30.30.936,Stroop task,,2025.1.1,60.151967898413545,2025-08-25 22h30.55.594040 +0530,
RED,blue,I,b,0,0,0,b,1,1.8137167999520898,None,0,0,0,1,1.0340706000570208,,,,,1.0180905000306666,1.0340706000570208,1.502697900054045,1.502697900054045,1.502697900054045,3.349867800017819,b,1,1.8137167999520898,None,,,,participant 4,001,2025-08-25_22h30.30.936,Stroop task,,2025.1.1,60.151967898413545,2025-08-25 22h30.55.594040 +0530,
BLUE,blue,C,b,1,1,0,b,1,1.498805099981837,None,0,1,1,3,3.3692407000344247,,,,,3.3561367000220343,3.3692407000344247,3.852635800023563,3.852635800023563,3.852635800023563,5.356318900012411,b,1,1.498805099981837,None,,,,participant 4,001,2025-08-25_22h30.30.936,Stroop task,,2025.1.1,60.151967898413545,2025-08-25 22h30.55.594040 +0530,
RED,red,C,r,2,2,0,r,1,1.3219250000547618,None,0,2,2,0,5.369066999992356,,,,,5.359601700096391,5.369066999992356,5.870506500010379,5.870506500010379,5.870506500010379,7.207847500103526,r,1,1.3219250000547618,None,,,,participant 4,001,2025-08-25_22h30.30.936,Stroop task,,2025.1.1,60.151967898413545,2025-08-25 22h30.55.594040 +0530,
BLUE,red,I,r,3,3,0,r,1,2.051057399949059,None,0,3,3,2,7.220052600023337,,,,,7.211035700049251,7.220052600023337,7.718579800100997,7.718579800100997,7.718579800100997,9.773632000084035,r,1,2.051057399949059,None,,,,participant 4,001,2025-08-25_22h30.30.936,Stroop task,,2025.1.1,60.151967898413545,2025-08-25 22h30.55.594040 +0530,
BLUE,red,I,r,4,0,1,r,1,1.0752635999815539,None,1,0,4,2,9.78540450008586,,,,,9.774085500044748,9.78540450008586,10.286832400015555,10.286832400015555,10.286832400015555,11.374260500073433,r,1,1.0752635999815539,None,,,,participant 4,001,2025-08-25_22h30.30.936,Stroop task,,2025.1.1,60.151967898413545,2025-08-25 22h30.55.594040 +0530,
RED,blue,I,b,5,1,1,b,1,1.3780443000141531,None,1,1,5,1,11.385577400098555,,,,,11.377055700053461,11.385577400098555,11.887279900023714,11.887279900023714,11.887279900023714,13.27125160000287,b,1,1.3780443000141531,None,,,,participant 4,001,2025-08-25_22h30.30.936,Stroop task,,2025.1.1,60.151967898413545,2025-08-25 22h30.55.594040 +0530,
RED,red,C,r,6,2,1,r,1,1.0367808999726549,None,1,2,6,0,13.285904300049879,,,,,13.27162060001865,13.285904300049879,13.785830500070006,13.785830500070006,13.785830500070006,14.824061300023459,r,1,1.0367808999726549,None,,,,participant 4,001,2025-08-25_22h30.30.936,Stroop task,,2025.1.1,60.151967898413545,2025-08-25 22h30.55.594040 +0530,
BLUE,blue,C,b,7,3,1,b,1,1.1489106999943033,None,1,3,7,3,14.835603400017135,,,,,14.826829500030726,14.835603400017135,15.334485100000165,15.334485100000165,15.334485100000165,16.48793669999577,b,1,1.1489106999943033,None,,,,participant 4,001,2025-08-25_22h30.30.936,Stroop task,,2025.1.1,60.151967898413545,2025-08-25 22h30.55.594040 +0530,
RED,red,C,r,8,0,2,r,1,1.0601093000732362,None,2,0,8,0,16.50124000001233,,,,,16.489938999991864,16.50124000001233,17.002614500001073,17.002614500001073,17.002614500001073,18.071468000067398,r,1,1.0601093000732362,None,,,,participant 4,001,2025-08-25_22h30.30.936,Stroop task,,2025.1.1,60.151967898413545,2025-08-25 22h30.55.594040 +0530,
