thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.10222222222222223)],[np.float64(-0.4627777777777778)],[1],[0],[0],[1.9784283998887986],['target'],0,0,0,0,0.035450000083073974,,5,0.019703600089997053,0.035450000083073974,0.035450000083073974,0.019739999901503325,1.9982180001679808,[np.float64(-0.10222222222222223)],[np.float64(-0.4627777777777778)],[1],[0],[0],[1.9784283998887986],['target'],participant 4,001,2025-09-30_13h54.03.335,Visual Search,,2025.1.1,60.121987503635836,2025-09-30 13h54.13.218934 +0530,
1,0,1,[np.float64(-0.31444444444444447)],[np.float64(0.26666666666666666)],[1],[0],[0],[1.272069700062275],['target'],1,0,1,0,2.0377451002132148,,10,2.024982800008729,2.0377451002132148,2.0377451002132148,0.026574400020763278,3.297250400064513,[np.float64(-0.31444444444444447)],[np.float64(0.26666666666666666)],[1],[0],[0],[1.272069700062275],['target'],participant 4,001,2025-09-30_13h54.03.335,Visual Search,,2025.1.1,60.121987503635836,2025-09-30 13h54.13.218934 +0530,
2,0,2,[np.float64(0.29888888888888887)],[np.float64(0.33111111111111113)],[1],[0],[0],[1.2158192999195307],['target'],2,0,2,0,3.3243759002070874,,5,3.3140094000846148,3.3243759002070874,3.3243759002070874,0.016509799985215068,4.529880000045523,[np.float64(0.29888888888888887)],[np.float64(0.33111111111111113)],[1],[0],[0],[1.2158192999195307],['target'],participant 4,001,2025-09-30_13h54.03.335,Visual Search,,2025.1.1,60.121987503635836,2025-09-30 13h54.13.218934 +0530,
3,0,3,[np.float64(-0.028888888888888888)],[np.float64(-0.2238888888888889)],[1],[0],[0],[1.6487654000520706],['target'],3,0,3,0,4.5566702000796795,,10,4.549145300174132,4.5566702000796795,4.5566702000796795,0.019158100010827184,6.198035000124946,[np.float64(-0.028888888888888888)],[np.float64(-0.2238888888888889)],[1],[0],[0],[1.6487654000520706],['target'],participant 4,001,2025-09-30_13h54.03.335,Visual Search,,2025.1.1,60.121987503635836,2025-09-30 13h54.13.218934 +0530,
4,0,4,[np.float64(-0.1827777777777778)],[np.float64(-0.09055555555555556)],[1],[0],[0],[1.5326772001571953],['target'],4,0,4,0,6.220981900114566,,5,6.213810300221667,6.220981900114566,6.220981900114566,0.015545600093901157,7.7465967000462115,[np.float64(-0.1827777777777778)],[np.float64(-0.09055555555555556)],[1],[0],[0],[1.5326772001571953],['target'],participant 4,001,2025-09-30_13h54.03.335,Visual Search,,2025.1.1,60.121987503635836,2025-09-30 13h54.13.218934 +0530,
5,0,5,[np.float64(-0.14)],[np.float64(-0.4577777777777778)],[1],[0],[0],[1.7016507999505848],['target'],5,0,5,0,7.790698300115764,,10,7.78098740009591,7.790698300115764,7.790698300115764,0.03415139997377992,9.482811500085518,[np.float64(-0.14)],[np.float64(-0.4577777777777778)],[1],[0],[0],[1.7016507999505848],['target'],participant 4,001,2025-09-30_13h54.03.335,Visual Search,,2025.1.1,60.121987503635836,2025-09-30 13h54.13.218934 +0530,
6,0,6,[np.float64(-0.4722222222222222)],[np.float64(-0.43444444444444447)],[1],[0],[0],[1.7664195999968797],['target'],6,0,6,0,9.505876700161025,,5,9.50021420000121,9.505876700161025,9.505876700161025,0.017059900099411607,11.26679990021512,[np.float64(-0.4722222222222222)],[np.float64(-0.43444444444444447)],[1],[0],[0],[1.7664195999968797],['target'],participant 4,001,2025-09-30_13h54.03.335,Visual Search,,2025.1.1,60.121987503635836,2025-09-30 13h54.13.218934 +0530,
7,0,7,[np.float64(0.2311111111111111)],[np.float64(0.29888888888888887)],[1],[0],[0],[1.3145985999144614],['target'],7,0,7,0,11.291320900199935,,5,11.284189600031823,11.291320900199935,11.291320900199935,0.017105899984017015,12.598987500183284,[np.float64(0.2311111111111111)],[np.float64(0.29888888888888887)],[1],[0],[0],[1.3145985999144614],['target'],participant 4,001,2025-09-30_13h54.03.335,Visual Search,,2025.1.1,60.121987503635836,2025-09-30 13h54.13.218934 +0530,
8,0,8,[np.float64(-0.03833333333333333)],[np.float64(0.2638888888888889)],[1],[0],[0],[1.5147602001670748],['target'],8,0,8,0,12.623025800101459,,5,12.61613200022839,12.623025800101459,12.623025800101459,0.01688869995996356,14.130994000006467,[np.float64(-0.03833333333333333)],[np.float64(0.2638888888888889)],[1],[0],[0],[1.5147602001670748],['target'],participant 4,001,2025-09-30_13h54.03.335,Visual Search,,2025.1.1,60.121987503635836,2025-09-30 13h54.13.218934 +0530,
9,0,9,[np.float64(-0.16166666666666665)],[np.float64(-0.21888888888888888)],[1],[0],[0],[1.3663721000775695],['target'],9,0,9,0,14.154194200178608,,5,14.147419800050557,14.154194200178608,14.154194200178608,0.016249699983745813,15.513890100177377,[np.float64(-0.16166666666666665)],[np.float64(-0.21888888888888888)],[1],[0],[0],[1.3663721000775695],['target'],participant 4,001,2025-09-30_13h54.03.335,Visual Search,,2025.1.1,60.121987503635836,2025-09-30 13h54.13.218934 +0530,
