delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.1,400,exp,0,0,0,space,0.3344390999991447,None,200,1,[4.56748880003579],[4.567503400146961],0,0,0,12,0.024869600078091025,,0.018583300057798624,0.024869600078091025,1.0074366999324411,1.0074366999324411,1.0244030999019742,1.4549112000968307,space,0.3344390999991447,None,1.4553648000583053,1.5570200666009137,1.8769918999169022,1.8573716999962926,1.858578700106591,1.8769918999169022,1.8769918999169022,1.8769918999169022,6.444871099898592,200,1,[4.56748880003579],[4.567503400146961],participant_1,001,2025-11-13_15h09.20.907,Deeya Intentional Binding,,2025.1.1,60.18404280301539,2025-11-13 15h09.38.921727 +0530,
0.7,1000,exp,1,1,0,space,0.28585899993777275,None,400,1,[2.0614699001889676],[2.061483200173825],0,1,1,8,6.457127999980003,,6.445076999953017,6.457127999980003,7.457169099943712,7.457169099943712,7.457169099943712,7.7584983999840915,space,0.28585899993777275,None,7.760008400073275,8.474129566752042,8.780302800005302,8.769237699918449,8.769891500007361,8.780302800005302,8.780302800005302,8.780302800005302,10.842170899966732,400,1,[2.0614699001889676],[2.061483200173825],participant_1,001,2025-11-13_15h09.20.907,Deeya Intentional Binding,,2025.1.1,60.18404280301539,2025-11-13 15h09.38.921727 +0530,
0.7,400,unexp,2,2,0,space,0.22157260007224977,None,600,1,[3.025619799969718],[3.0256366000976413],0,2,2,2,10.857072100043297,,10.842520999955013,10.857072100043297,11.857446300098673,11.857446300098673,11.857446300098673,12.091630100039765,space,0.22157260007224977,None,12.092560200020671,12.806997466661658,13.115903500001878,13.104670699918643,13.105252400040627,13.115903500001878,13.115903500001878,13.115903500001878,16.142000100109726,600,1,[3.025619799969718],[3.0256366000976413],participant_1,001,2025-11-13_15h09.20.907,Deeya Intentional Binding,,2025.1.1,60.18404280301539,2025-11-13 15h09.38.921727 +0530,
0.4,1000,exp,3,3,0,space,0.5610342998988926,None,250,1,[4.292749000014737],[4.292765300022438],0,3,3,4,16.15756560000591,,16.142496000044048,16.15756560000591,17.156914599938318,17.156914599938318,17.156914599938318,17.72483510011807,space,0.5610342998988926,None,17.72571779997088,18.140882866752023,18.44882360007614,18.436542500043288,18.437299699988216,18.44882360007614,18.44882360007614,18.44882360007614,22.74206249997951,250,1,[4.292749000014737],[4.292765300022438],participant_1,001,2025-11-13_15h09.20.907,Deeya Intentional Binding,,2025.1.1,60.18404280301539,2025-11-13 15h09.38.921727 +0530,
0.7,1000,exp,4,4,0,space,0.5615985000040382,None,400,1,[1.7094074999913573],[1.7094237999990582],0,4,4,5,22.75691740005277,,22.74252579989843,22.75691740005277,23.756918899947777,23.756918899947777,23.756918899947777,24.32458489993587,space,0.5615985000040382,None,24.3255340999458,25.040723766727993,25.3482234000694,25.336744700092822,25.3374737999402,25.3482234000694,25.3482234000694,25.3482234000694,27.057998900068924,400,1,[1.7094074999913573],[1.7094237999990582],participant_1,001,2025-11-13_15h09.20.907,Deeya Intentional Binding,,2025.1.1,60.18404280301539,2025-11-13 15h09.38.921727 +0530,
0.4,1000,exp,5,5,0,space,0.644495900021866,None,500,1,[2.092827800195664],[2.0928418000694364],0,5,5,10,27.07416670001112,,27.058321800082922,27.07416670001112,28.074310099938884,28.074310099938884,28.074310099938884,28.725180000066757,space,0.644495900021866,None,28.72653149999678,29.140637666747594,29.44985090009868,29.438384199980646,29.43895630002953,29.44985090009868,29.44985090009868,29.44985090009868,31.543136599939317,500,1,[2.092827800195664],[2.0928418000694364],participant_1,001,2025-11-13_15h09.20.907,Deeya Intentional Binding,,2025.1.1,60.18404280301539,2025-11-13 15h09.38.921727 +0530,
0.4,1000,exp,6,6,0,space,0.28748749988153577,None,300,1,[3.056818400043994],[3.0568299998994917],0,6,6,7,31.556779199978337,,31.543509399984032,31.556779199978337,32.55688560009003,32.55688560009003,32.55688560009003,32.857732200063765,space,0.28748749988153577,None,32.85899189999327,33.25719216658423,33.567772400099784,33.5565633000806,33.55713149998337,33.567772400099784,33.567772400099784,33.567772400099784,36.62496499996632,300,1,[3.056818400043994],[3.0568299998994917],participant_1,001,2025-11-13_15h09.20.907,Deeya Intentional Binding,,2025.1.1,60.18404280301539,2025-11-13 15h09.38.921727 +0530,
0.4,400,unexp,7,7,0,space,0.2998150000348687,None,100,1,[2.641999199986458],[2.642012999858707],0,7,7,1,36.64053039997816,,36.62532210000791,36.64053039997816,37.640402500052005,37.640402500052005,37.640402500052005,37.94098090007901,space,0.2998150000348687,None,37.94193740002811,38.34008106665375,38.64914060011506,38.63757900008932,38.638506500050426,38.64914060011506,38.64914060011506,38.64914060011506,41.29152560001239,100,1,[2.641999199986458],[2.642012999858707],participant_1,001,2025-11-13_15h09.20.907,Deeya Intentional Binding,,2025.1.1,60.18404280301539,2025-11-13 15h09.38.921727 +0530,
0.1,1000,exp,8,8,0,space,0.2425824000965804,None,100,1,[2.9078961999621242],[2.9079072000458837],0,8,8,6,41.306471599964425,,41.29185999999754,41.306471599964425,42.3068784000352,42.3068784000352,42.3068784000352,42.55748929991387,space,0.2425824000965804,None,42.558542700018734,42.65714116656842,42.96677220007405,42.95858739991672,42.95911239995621,42.96677220007405,42.96677220007405,42.96677220007405,45.87515050009824,100,1,[2.9078961999621242],[2.9079072000458837],participant_1,001,2025-11-13_15h09.20.907,Deeya Intentional Binding,,2025.1.1,60.18404280301539,2025-11-13 15h09.38.921727 +0530,
0.7,1000,exp,9,9,0,space,0.17344260006211698,None,,1,[0.34276179992593825],[0.3427687999792397],0,9,9,11,45.89005440007895,,45.875483999960124,45.89005440007895,46.89006350003183,46.89006350003183,46.89006350003183,47.07474959990941,space,0.17344260006211698,None,47.07580680004321,47.790324266596386,48.09785780007951,48.08777470001951,48.08842059993185,48.09785780007951,48.09785780007951,48.09785780007951,48.44090740010142,,1,[0.34276179992593825],[0.3427687999792397],participant_1,001,2025-11-13_15h09.20.907,Deeya Intentional Binding,,2025.1.1,60.18404280301539,2025-11-13 15h09.38.921727 +0530,
