study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Studytext.started,Studyslider.started,Studytext.stopped,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,Test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,TestText.stopped,Test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Keys,0,0,0,1.008888888888889,10.475098100025207,,,,,,,,,,,,0,0,0,13,,,,,0.03762509999796748,,0.025937899947166443,0.03762509999796748,0.03762509999796748,8.049182299990207,10.517456199973822,1.008888888888889,10.475098100025207,,,,,,,,,,,,,,,,participant_1,001,2025-10-13_15h07.30.333,Deeya Word Priming,,2025.1.1,60.136775226941324,2025-10-13 15h07.48.335602 +0530,
cushion,1,1,0,1.0044444444444445,5.573856000322849,,,,,,,,,,,,0,1,1,1,,,,,10.53432559967041,,10.526858899742365,10.53432559967041,10.53432559967041,,16.11637969966978,1.0044444444444445,5.573856000322849,,,,,,,,,,,,,,,,participant_1,001,2025-10-13_15h07.30.333,Deeya Word Priming,,2025.1.1,60.136775226941324,2025-10-13 15h07.48.335602 +0530,
Police,2,2,0,1.0133333333333334,1.8281096001155674,,,,,,,,,,,,0,2,2,12,,,,,16.132082099560648,,16.123382699675858,16.132082099560648,16.132082099560648,,17.966474100016057,1.0133333333333334,1.8281096001155674,,,,,,,,,,,,,,,,participant_1,001,2025-10-13_15h07.30.333,Deeya Word Priming,,2025.1.1,60.136775226941324,2025-10-13 15h07.48.335602 +0530,
phone,3,3,0,1.0133333333333334,2.2296215002425015,,,,,,,,,,,,0,3,3,2,,,,,17.982243599835783,,17.971948699560016,17.982243599835783,17.982243599835783,,20.218306999653578,1.0133333333333334,2.2296215002425015,,,,,,,,,,,,,,,,participant_1,001,2025-10-13_15h07.30.333,Deeya Word Priming,,2025.1.1,60.136775226941324,2025-10-13 15h07.48.335602 +0530,
Case,4,4,0,2.626666666666667,7.690965000074357,,,,,,,,,,,,0,4,4,10,,,,,20.235544899944216,,20.22617999976501,20.235544899944216,20.235544899944216,,27.933240299578756,2.626666666666667,7.690965000074357,,,,,,,,,,,,,,,,participant_1,001,2025-10-13_15h07.30.333,Deeya Word Priming,,2025.1.1,60.136775226941324,2025-10-13 15h07.48.335602 +0530,
T-shirt,5,5,0,1.0022222222222221,2.6284194998443127,,,,,,,,,,,,0,5,5,7,,,,,27.948669199831784,,27.939333599992096,27.948669199831784,27.948669199831784,,30.58446169970557,1.0022222222222221,2.6284194998443127,,,,,,,,,,,,,,,,participant_1,001,2025-10-13_15h07.30.333,Deeya Word Priming,,2025.1.1,60.136775226941324,2025-10-13 15h07.48.335602 +0530,
marble,6,6,0,1.0022222222222221,6.345731699839234,,,,,,,,,,,,0,6,6,3,,,,,30.598987199831754,,30.588705699890852,30.598987199831754,30.598987199831754,,36.9502326999791,1.0022222222222221,6.345731699839234,,,,,,,,,,,,,,,,participant_1,001,2025-10-13_15h07.30.333,Deeya Word Priming,,2025.1.1,60.136775226941324,2025-10-13 15h07.48.335602 +0530,
Poster,7,7,0,1.9822222222222223,3.445641300175339,,,,,,,,,,,,0,7,7,14,,,,,36.96578429965302,,36.95479149976745,36.96578429965302,36.96578429965302,,40.416876999661326,1.9822222222222223,3.445641300175339,,,,,,,,,,,,,,,,participant_1,001,2025-10-13_15h07.30.333,Deeya Word Priming,,2025.1.1,60.136775226941324,2025-10-13 15h07.48.335602 +0530,
Pastry,8,8,0,3.0,6.831101299729198,,,,,,,,,,,,0,8,8,9,,,,,40.43227889994159,,40.42085909983143,40.43227889994159,40.43227889994159,,47.26691739959642,3.0,6.831101299729198,,,,,,,,,,,,,,,,participant_1,001,2025-10-13_15h07.30.333,Deeya Word Priming,,2025.1.1,60.136775226941324,2025-10-13 15h07.48.335602 +0530,
board,9,9,0,3.0,4.492219200357795,,,,,,,,,,,,0,9,9,4,,,,,47.281799299642444,,47.2738304999657,47.281799299642444,47.281799299642444,,51.782713499851525,3.0,4.492219200357795,,,,,,,,,,,,,,,,participant_1,001,2025-10-13_15h07.30.333,Deeya Word Priming,,2025.1.1,60.136775226941324,2025-10-13 15h07.48.335602 +0530,
