flanker,correctAns,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,intro.started,space.started,Instructions.stopped,space.keys,space.rt,space.duration,trial.started,fixation.started,Flankerstim.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_You.started,thanks.started,Thank_You.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0037654999177902937,0.011248599970713258,0.011248599970713258,27.666773499920964,space,27.6368277000729,None,,,,,,,,,,,,,,participant_2,001,2025-11-10_17h30.23.331,Deeya Flanker,,2025.1.1,59.85142484825739,2025-11-10 17h30.33.566473 +0530,
<<><<,right,incongruent,0,0,0,right,1,6.310801199986599,None,0,0,0,2,27.68686199991498,,,,,,,,,27.68032309995033,27.68686199991498,28.673804399906658,28.673804399906658,28.690478299977258,34.99081889993977,right,1,6.310801199986599,None,,,,participant_2,001,2025-11-10_17h30.23.331,Deeya Flanker,,2025.1.1,59.85142484825739,2025-11-10 17h30.33.566473 +0530,
<<<<<,left,congruent,1,1,0,right,0,1.7337307999841869,None,0,1,1,0,35.00700899993535,,,,,,,,,34.99451069999486,35.00700899993535,35.990672899992205,35.990672899992205,36.00779869989492,37.72532839991618,right,0,1.7337307999841869,None,,,,participant_2,001,2025-11-10_17h30.23.331,Deeya Flanker,,2025.1.1,59.85142484825739,2025-11-10 17h30.33.566473 +0530,
>>>>>,right,congruent,2,2,0,right,1,1.8201121999882162,None,0,2,2,1,37.740544999949634,,,,,,,,,37.72913879994303,37.740544999949634,38.72441999998409,38.72441999998409,38.74032759992406,40.55818579997867,right,1,1.8201121999882162,None,,,,participant_2,001,2025-11-10_17h30.23.331,Deeya Flanker,,2025.1.1,59.85142484825739,2025-11-10 17h30.33.566473 +0530,
>><>>,left,incongruent,3,3,0,left,1,1.5597720000660047,None,0,3,3,3,40.5745366999181,,,,,,,,,40.5629741998855,40.5745366999181,41.5743503998965,41.5743503998965,41.5743503998965,43.14149399998132,left,1,1.5597720000660047,None,,,,participant_2,001,2025-11-10_17h30.23.331,Deeya Flanker,,2025.1.1,59.85142484825739,2025-11-10 17h30.33.566473 +0530,
<<<<<,left,congruent,4,0,1,left,1,0.9482776999939233,None,1,0,4,0,43.15691589994822,,,,,,,,,43.1460695998976,43.15691589994822,44.14090289990418,44.14090289990418,44.15754299995024,45.091307499911636,left,1,0.9482776999939233,None,,,,participant_2,001,2025-11-10_17h30.23.331,Deeya Flanker,,2025.1.1,59.85142484825739,2025-11-10 17h30.33.566473 +0530,
>><>>,left,incongruent,5,1,1,right,0,1.2536986999912187,None,1,1,5,3,45.10769049997907,,,,,,,,,45.09594089991879,45.10769049997907,46.09042629995383,46.09042629995383,46.106971799978055,47.35772469989024,right,0,1.2536986999912187,None,,,,participant_2,001,2025-11-10_17h30.23.331,Deeya Flanker,,2025.1.1,59.85142484825739,2025-11-10 17h30.33.566473 +0530,
>>>>>,right,congruent,6,2,1,right,1,1.073142100009136,None,1,2,6,1,47.373396699898876,,,,,,,,,47.361579999909736,47.373396699898876,48.35741769999731,48.35741769999731,48.374041299917735,49.4417958999984,right,1,1.073142100009136,None,,,,participant_2,001,2025-11-10_17h30.23.331,Deeya Flanker,,2025.1.1,59.85142484825739,2025-11-10 17h30.33.566473 +0530,
<<><<,right,incongruent,7,3,1,right,1,1.7851982000283897,None,1,3,7,2,49.457419999991544,,,,,,,,,49.4463434999343,49.457419999991544,50.457092999946326,50.457092999946326,50.457092999946326,52.25827919994481,right,1,1.7851982000283897,None,,,,participant_2,001,2025-11-10_17h30.23.331,Deeya Flanker,,2025.1.1,59.85142484825739,2025-11-10 17h30.33.566473 +0530,
<<><<,right,incongruent,8,0,2,right,1,1.3628955000313,None,2,0,8,2,52.274066699901596,,,,,,,,,52.25858999998309,52.274066699901596,53.25733049993869,53.25733049993869,53.27404910000041,54.62453559995629,right,1,1.3628955000313,None,,,,participant_2,001,2025-11-10_17h30.23.331,Deeya Flanker,,2025.1.1,59.85142484825739,2025-11-10 17h30.33.566473 +0530,
>><>>,left,incongruent,9,1,2,left,1,0.738363099982962,None,2,1,9,3,54.640228499891236,,,,,,,,,54.628588199964724,54.640228499891236,55.62446089996956,55.62446089996956,55.64038439991418,56.37458529998548,left,1,0.738363099982962,None,,,,participant_2,001,2025-11-10_17h30.23.331,Deeya Flanker,,2025.1.1,59.85142484825739,2025-11-10 17h30.33.566473 +0530,
