study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Studytext.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,Test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,Test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
marble,0,0,0,1.3422222222222222,1.8050855998881161,,,,,,,,,,,,0,0,0,3,,,,,0.023445399943739176,,0.014332199934870005,0.023445399943739176,0.023445399943739176,1.8355682999826968,1.3422222222222222,1.8050855998881161,,,,,,,,,,,,,,,,participant_2,001,2025-10-13_16h04.49.668,Deeya Word Priming,,2025.1.1,59.90904596574197,2025-10-13 16h09.46.358864 +0530,
phone,1,1,0,1.6866666666666668,0.8618290000595152,,,,,,,,,,,,0,1,1,2,,,,,1.8513464001007378,,1.841629299800843,1.8513464001007378,1.8513464001007378,2.71941260015592,1.6866666666666668,0.8618290000595152,,,,,,,,,,,,,,,,participant_2,001,2025-10-13_16h04.49.668,Deeya Word Priming,,2025.1.1,59.90904596574197,2025-10-13 16h09.46.358864 +0530,
T-shirt,2,2,0,1.9733333333333334,2.8769324999302626,,,,,,,,,,,,0,2,2,7,,,,,2.7346378001384437,,2.7274095001630485,2.7346378001384437,2.7346378001384437,5.619878299999982,1.9733333333333334,2.8769324999302626,,,,,,,,,,,,,,,,participant_2,001,2025-10-13_16h04.49.668,Deeya Word Priming,,2025.1.1,59.90904596574197,2025-10-13 16h09.46.358864 +0530,
Cruise,3,3,0,1.0711111111111111,1.07920530019328,,,,,,,,,,,,0,3,3,11,,,,,5.635134099982679,,5.624736600089818,5.635134099982679,5.635134099982679,6.719641900155693,1.0711111111111111,1.07920530019328,,,,,,,,,,,,,,,,participant_2,001,2025-10-13_16h04.49.668,Deeya Word Priming,,2025.1.1,59.90904596574197,2025-10-13 16h09.46.358864 +0530,
Chart,4,4,0,1.5888888888888888,1.9132523997686803,,,,,,,,,,,,0,4,4,6,,,,,6.735226800199598,,6.723558499943465,6.735226800199598,6.735226800199598,8.652893399819732,1.5888888888888888,1.9132523997686803,,,,,,,,,,,,,,,,participant_2,001,2025-10-13_16h04.49.668,Deeya Word Priming,,2025.1.1,59.90904596574197,2025-10-13 16h09.46.358864 +0530,
Police,5,5,0,1.5888888888888888,0.511609900277108,,,,,,,,,,,,0,5,5,12,,,,,8.667963000014424,,8.659110500011593,8.667963000014424,8.667963000014424,9.186227600090206,1.5888888888888888,0.511609900277108,,,,,,,,,,,,,,,,participant_2,001,2025-10-13_16h04.49.668,Deeya Word Priming,,2025.1.1,59.90904596574197,2025-10-13 16h09.46.358864 +0530,
cushion,6,6,0,2.035555555555556,1.2631856999360025,,,,,,,,,,,,0,6,6,1,,,,,9.201587399933487,,9.190031799953431,9.201587399933487,9.201587399933487,10.469348100014031,2.035555555555556,1.2631856999360025,,,,,,,,,,,,,,,,participant_2,001,2025-10-13_16h04.49.668,Deeya Word Priming,,2025.1.1,59.90904596574197,2025-10-13 16h09.46.358864 +0530,
board,7,7,0,2.96,1.9095050999894738,,,,,,,,,,,,0,7,7,4,,,,,10.487727699801326,,10.477436800021678,10.487727699801326,10.487727699801326,12.402886999770999,2.96,1.9095050999894738,,,,,,,,,,,,,,,,participant_2,001,2025-10-13_16h04.49.668,Deeya Word Priming,,2025.1.1,59.90904596574197,2025-10-13 16h09.46.358864 +0530,
Case,8,8,0,2.397777777777778,1.147851100191474,,,,,,,,,,,,0,8,8,10,,,,,12.418348500039428,,12.406543800141662,12.418348500039428,12.418348500039428,13.569522299803793,2.397777777777778,1.147851100191474,,,,,,,,,,,,,,,,participant_2,001,2025-10-13_16h04.49.668,Deeya Word Priming,,2025.1.1,59.90904596574197,2025-10-13 16h09.46.358864 +0530,
Poster,9,9,0,1.5977777777777777,0.8135798000730574,,,,,,,,,,,,0,9,9,14,,,,,13.584488099906594,,13.57398260012269,13.584488099906594,13.584488099906594,14.402861999813467,1.5977777777777777,0.8135798000730574,,,,,,,,,,,,,,,,participant_2,001,2025-10-13_16h04.49.668,Deeya Word Priming,,2025.1.1,59.90904596574197,2025-10-13 16h09.46.358864 +0530,
Laptop,10,10,0,1.0466666666666666,0.9626076999120414,,,,,,,,,,,,0,10,10,5,,,,,14.417996500153095,,14.408226099796593,14.417996500153095,14.417996500153095,15.38613779982552,1.0466666666666666,0.9626076999120414,,,,,,,,,,,,,,,,participant_2,001,2025-10-13_16h04.49.668,Deeya Word Priming,,2025.1.1,59.90904596574197,2025-10-13 16h09.46.358864 +0530,
Pastry,11,11,0,1.1177777777777778,1.3446598001755774,,,,,,,,,,,,0,11,11,9,,,,,15.40181259997189,,15.39265300007537,15.40181259997189,15.40181259997189,16.752752900123596,1.1177777777777778,1.3446598001755774,,,,,,,,,,,,,,,,participant_2,001,2025-10-13_16h04.49.668,Deeya Word Priming,,2025.1.1,59.90904596574197,2025-10-13 16h09.46.358864 +0530,
mouse,12,12,0,2.6422222222222222,2.830388099886477,,,,,,,,,,,,0,12,12,8,,,,,16.768312400206923,,16.75657630013302,16.768312400206923,16.768312400206923,19.60308049991727,2.6422222222222222,2.830388099886477,,,,,,,,,,,,,,,,participant_2,001,2025-10-13_16h04.49.668,Deeya Word Priming,,2025.1.1,59.90904596574197,2025-10-13 16h09.46.358864 +0530,
Keys,13,13,0,2.96,1.1955730002373457,,,,,,,,,,,,0,13,13,13,,,,,19.617949199862778,,19.608715999871492,19.617949199862778,19.617949199862778,20.819730299990624,2.96,1.1955730002373457,,,,,,,,,,,,,,,,participant_2,001,2025-10-13_16h04.49.668,Deeya Word Priming,,2025.1.1,59.90904596574197,2025-10-13 16h09.46.358864 +0530,
