reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
48,98,41,0,0,0,t,3.079020400007721,None,0,0,0,55,0.08775029997923411,,0.08087089998298325,0.08775029997923411,1.0037539000040852,1.0037539000040852,1.088010299979942,4.100245999987237,t,3.079020400007721,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
17,50,134,1,1,0,t,1.387074099999154,None,0,1,1,54,4.113303699996322,,4.110476899979403,4.113303699996322,5.104465399985202,5.104465399985202,5.121406199992634,6.505896399990888,t,1.387074099999154,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
74,88,82,2,2,0,t,2.2763818000094034,None,0,2,2,59,6.520830699999351,,6.51746559998719,6.520830699999351,7.520649899990531,7.520649899990531,7.520649899990531,9.805155599984573,t,2.2763818000094034,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
49,61,50,3,3,0,t,1.741679300001124,None,0,3,3,21,9.820384599996032,,9.815331699996023,9.820384599996032,10.82073439998203,10.82073439998203,10.82073439998203,12.571510599984322,t,1.741679300001124,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
50,55,8,4,4,0,t,1.811684400017839,None,0,4,4,87,12.587428200000431,,12.57707389999996,12.587428200000431,13.571114099991973,13.571114099991973,13.587675499991747,15.3875207999954,t,1.811684400017839,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
54,78,86,5,5,0,t,1.7304007999773603,None,0,5,5,37,15.403388499980792,,15.395177900005365,15.403388499980792,16.387089600000763,16.387089600000763,16.40373049999471,18.121518700005254,t,1.7304007999773603,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
1,50,55,6,6,0,l,1.1691806999733672,None,0,6,6,3,18.137683099979768,,18.128095099993516,18.137683099979768,19.13741649998701,19.13741649998701,19.13741649998701,20.322051099996315,l,1.1691806999733672,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
49,91,96,7,7,0,l,1.7123473999963608,None,0,7,7,91,20.33742169998004,,20.3288426999934,20.33742169998004,21.337588599999435,21.337588599999435,21.337588599999435,23.05396859999746,l,1.7123473999963608,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
51,86,34,8,8,0,t,1.072377400007099,None,0,8,8,79,23.070154199987883,,23.06136439999682,23.070154199987883,24.053931200003717,24.053931200003717,24.07087429999956,25.137106699985452,t,1.072377400007099,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
24,97,1,9,9,0,l,1.4345404999912716,None,0,9,9,56,25.153272900002776,,25.14217259999714,25.153272900002776,26.13742579999962,26.13742579999962,26.154143299994757,27.587227899988648,l,1.4345404999912716,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
