study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Studytext.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,Test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,TestText.stopped,Test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Case,0,0,0,1,2.504791000392288,,,,,,,,,,,,0,0,0,10,,,,,0.022748799994587898,,0.013589099980890751,0.022748799994587898,0.022748799994587898,2.5341229997575283,1,2.504791000392288,,,,,,,,,,,,,,,,participant_4,001,2025-10-13_17h29.05.958,Deeya Word Priming,,2025.1.1,59.922903094142036,2025-10-13 17h29.22.530164 +0530,
phone,1,1,0,1,1.0741000003181398,,,,,,,,,,,,0,1,1,2,,,,,2.553617399651557,,2.5445989998988807,2.553617399651557,2.553617399651557,3.633984100073576,1,1.0741000003181398,,,,,,,,,,,,,,,,participant_4,001,2025-10-13_17h29.05.958,Deeya Word Priming,,2025.1.1,59.922903094142036,2025-10-13 17h29.22.530164 +0530,
marble,2,2,0,1,0.7950055003166199,,,,,,,,,,,,0,2,2,3,,,,,3.6499719000421464,,3.64039249997586,3.6499719000421464,3.6499719000421464,4.450987999793142,1,0.7950055003166199,,,,,,,,,,,,,,,,participant_4,001,2025-10-13_17h29.05.958,Deeya Word Priming,,2025.1.1,59.922903094142036,2025-10-13 17h29.22.530164 +0530,
Cruise,3,3,0,1,0.8311808002181351,,,,,,,,,,,,0,3,3,11,,,,,4.466672699898481,,4.4545729998499155,4.466672699898481,4.466672699898481,5.301923499908298,1,0.8311808002181351,,,,,,,,,,,,,,,,participant_4,001,2025-10-13_17h29.05.958,Deeya Word Priming,,2025.1.1,59.922903094142036,2025-10-13 17h29.22.530164 +0530,
mouse,4,4,0,1,1.0278627001680434,,,,,,,,,,,,0,4,4,8,,,,,5.31598739977926,,5.307139900047332,5.31598739977926,5.31598739977926,6.350343399681151,1,1.0278627001680434,,,,,,,,,,,,,,,,participant_4,001,2025-10-13_17h29.05.958,Deeya Word Priming,,2025.1.1,59.922903094142036,2025-10-13 17h29.22.530164 +0530,
Poster,5,5,0,1,0.7779584000818431,,,,,,,,,,,,0,5,5,14,,,,,6.366369999945164,,6.357022899668664,6.366369999945164,6.366369999945164,7.1515478999353945,1,0.7779584000818431,,,,,,,,,,,,,,,,participant_4,001,2025-10-13_17h29.05.958,Deeya Word Priming,,2025.1.1,59.922903094142036,2025-10-13 17h29.22.530164 +0530,
book,6,6,0,1,0.6957608996890485,,,,,,,,,,,,0,6,6,0,,,,,7.1661895997822285,,7.155794299673289,7.1661895997822285,7.1661895997822285,7.867906099651009,1,0.6957608996890485,,,,,,,,,,,,,,,,participant_4,001,2025-10-13_17h29.05.958,Deeya Word Priming,,2025.1.1,59.922903094142036,2025-10-13 17h29.22.530164 +0530,
board,7,7,0,1,0.7596387998200953,,,,,,,,,,,,0,7,7,4,,,,,7.886241499800235,,7.876110199838877,7.886241499800235,7.886241499800235,8.650913799647242,1,0.7596387998200953,,,,,,,,,,,,,,,,participant_4,001,2025-10-13_17h29.05.958,Deeya Word Priming,,2025.1.1,59.922903094142036,2025-10-13 17h29.22.530164 +0530,
Pastry,8,8,0,1,0.8104159003123641,,,,,,,,,,,,0,8,8,9,,,,,8.66650479985401,,8.656810499727726,8.66650479985401,8.66650479985401,9.483476399909705,1,0.8104159003123641,,,,,,,,,,,,,,,,participant_4,001,2025-10-13_17h29.05.958,Deeya Word Priming,,2025.1.1,59.922903094142036,2025-10-13 17h29.22.530164 +0530,
Chart,9,9,0,1,0.9151512999087572,,,,,,,,,,,,0,9,9,6,,,,,9.49929489986971,,9.486705199815333,9.49929489986971,9.49929489986971,10.417545599862933,1,0.9151512999087572,,,,,,,,,,,,,,,,participant_4,001,2025-10-13_17h29.05.958,Deeya Word Priming,,2025.1.1,59.922903094142036,2025-10-13 17h29.22.530164 +0530,
