flanker,correctAns,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,intro.started,space.started,Instructions.stopped,space.keys,space.rt,space.duration,trial.started,fixation.started,Flankerstim.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_You.started,thanks.started,thanks.stopped,Thank_You.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0023231999948620796,0.008080399944446981,0.008080399944446981,1.8702892999863252,space,1.8530215999344364,None,,,,,,,,,,,,,,,participant_5,001,2025-11-11_11h17.06.931,Deeya Flanker,,2025.1.1,60.042209645294264,2025-11-11 11h17.19.490084 +0530,
>><>>,left,incongruent,0,0,0,left,1,1.0401530000381172,None,0,0,0,3,1.8853132999502122,,,,,,,,,1.8817687999689952,1.8853132999502122,2.8776613998925313,2.8776613998925313,2.8942082999274135,3.927763899904676,left,1,1.0401530000381172,None,,,,,participant_5,001,2025-11-11_11h17.06.931,Deeya Flanker,,2025.1.1,60.042209645294264,2025-11-11 11h17.19.490084 +0530,
<<><<,right,incongruent,1,1,0,right,1,1.09660960000474,None,0,1,1,2,3.944039099966176,,,,,,,,,3.9305557999759912,3.944039099966176,4.928183699958026,4.928183699958026,4.944838700001128,6.027916699997149,right,1,1.09660960000474,None,,,,,participant_5,001,2025-11-11_11h17.06.931,Deeya Flanker,,2025.1.1,60.042209645294264,2025-11-11 11h17.19.490084 +0530,
>>>>>,right,congruent,2,2,0,right,1,0.5857659999746829,None,0,2,2,1,6.044212999986485,,,,,,,,,6.03075249993708,6.044212999986485,7.027486799983308,7.027486799983308,7.0445852999109775,7.628849599976093,right,1,0.5857659999746829,None,,,,,participant_5,001,2025-11-11_11h17.06.931,Deeya Flanker,,2025.1.1,60.042209645294264,2025-11-11 11h17.19.490084 +0530,
<<<<<,left,congruent,3,3,0,left,1,0.3683653000043705,None,0,3,3,0,7.644524599891156,,,,,,,,,7.633146999985911,7.644524599891156,8.644706999999471,8.644706999999471,8.644706999999471,9.0287185999332,left,1,0.3683653000043705,None,,,,,participant_5,001,2025-11-11_11h17.06.931,Deeya Flanker,,2025.1.1,60.042209645294264,2025-11-11 11h17.19.490084 +0530,
<<><<,right,incongruent,4,0,1,right,1,0.8889748000074178,None,1,0,4,2,9.044462199904956,,,,,,,,,9.033014899934642,9.044462199904956,10.0449409999419,10.0449409999419,10.0449409999419,10.945417499984615,right,1,0.8889748000074178,None,,,,,participant_5,001,2025-11-11_11h17.06.931,Deeya Flanker,,2025.1.1,60.042209645294264,2025-11-11 11h17.19.490084 +0530,
>><>>,left,incongruent,5,1,1,left,1,0.6975677999434993,None,1,1,5,3,10.961403799941763,,,,,,,,,10.949002099921927,10.961403799941763,11.961164199979976,11.961164199979976,11.961164199979976,12.661345399916172,left,1,0.6975677999434993,None,,,,,participant_5,001,2025-11-11_11h17.06.931,Deeya Flanker,,2025.1.1,60.042209645294264,2025-11-11 11h17.19.490084 +0530,
<<<<<,left,congruent,6,2,1,left,1,0.4019789999583736,None,1,2,6,0,12.677351799909957,,,,,,,,,12.665201999945566,12.677351799909957,13.661418399889953,13.661418399889953,13.678424899931997,14.07842699997127,left,1,0.4019789999583736,None,,,,,participant_5,001,2025-11-11_11h17.06.931,Deeya Flanker,,2025.1.1,60.042209645294264,2025-11-11 11h17.19.490084 +0530,
>>>>>,right,congruent,7,3,1,right,1,0.4580996000440791,None,1,3,7,1,14.094033999950625,,,,,,,,,14.082296899985522,14.094033999950625,15.094048399943858,15.094048399943858,15.094048399943858,15.561499599949457,right,1,0.4580996000440791,None,,,,,participant_5,001,2025-11-11_11h17.06.931,Deeya Flanker,,2025.1.1,60.042209645294264,2025-11-11 11h17.19.490084 +0530,
>>>>>,right,congruent,8,0,2,right,1,0.607878900016658,None,2,0,8,1,15.577869099914096,,,,,,,,,15.561813499894924,15.577869099914096,16.56080049998127,16.56080049998127,16.5771029999014,17.17801579996012,right,1,0.607878900016658,None,,,,,participant_5,001,2025-11-11_11h17.06.931,Deeya Flanker,,2025.1.1,60.042209645294264,2025-11-11 11h17.19.490084 +0530,
